"Question","Answer","Source"
"sampath bank hotline number","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"sampath bank kesbewa telephone number ","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"hi can i have boralla branch manager phone no please ","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"phone number for colombo 04 branch ","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"please send me direct no. to call you.","Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","CreditCard&GeneralQnA.xlsx"
"details about Ustocktrade","Please Visit: https://www.ustocktrade.com/lk/","Editorial"
"Further details of Ustocktrade","Please Visit: https://www.ustocktrade.com/lk/","Editorial"
"How can a customer get to know more about USTOCKTRADE","Please Visit: https://www.ustocktrade.com/lk/","Editorial"
"further details of USTOCKTRADE","Please Visit: https://www.ustocktrade.com/lk/","Editorial"
"more details of USTOCKTRADE","Please Visit: https://www.ustocktrade.com/lk/","Editorial"
"HOW CAN I GET TO KNOW MORE ABOUT USTOCKTRADE? ","Please Visit: https://www.ustocktrade.com/lk/","Editorial"
"lost my credit card","Report the loss of your Sampath Credit Card immediately to Customer Service Hotline, (0)11 2300 604","Editorial"
"my card got stolen","Report the loss of your Sampath Credit Card immediately to Customer Service Hotline, (0)11 2300 604","Editorial"
"my card got stolen what should I do?","Report the loss of your Sampath Credit Card immediately to Customer Service Hotline, (0)11 2300 604","Editorial"
"my credit card got stolen","Report the loss of your Sampath Credit Card immediately to Customer Service Hotline, (0)11 2300 604","Editorial"
"my credit card was lost?","Report the loss of your Sampath Credit Card immediately to Customer Service Hotline, (0)11 2300 604","Editorial"
"someone stole my card what do I do?","Report the loss of your Sampath Credit Card immediately to Customer Service Hotline, (0)11 2300 604","Editorial"
"someone stole my credit card","Report the loss of your Sampath Credit Card immediately to Customer Service Hotline, (0)11 2300 604","Editorial"
"someone stolen my credit card?","Report the loss of your Sampath Credit Card immediately to Customer Service Hotline, (0)11 2300 604","Editorial"
"if I have lost my Sampath Credit Card what should i do?","Report the loss of your Sampath Credit Card immediately to Customer Service Hotline, (0)11 2300 604","Editorial"
"lost my savings passbook?","You could either close the account and open a new account or get a duplicate passbook.","CreditCard&GeneralQnA.xlsx"
"some one stolen my passbook, can i get new one?","You could either close the account and open a new account or get a duplicate passbook.","CreditCard&GeneralQnA.xlsx"
"18- accounts and mny withdrawal","Yes. When the minor reaches 18 years of age, he/she could withdraw the money.   ","19062018_TonalityChangesDone.xlsx"
"18- accounts and mny withdrwal","Yes. When the minor reaches 18 years of age, he/she could withdraw the money.   ","19062018_TonalityChangesDone.xlsx"
"18- accounts and my withdrawal","Yes. When the minor reaches 18 years of age, he/she could withdraw the money.   ","19062018_TonalityChangesDone.xlsx"
"accounts and money withdrawal after 18 years","Yes. When the minor reaches 18 years of age, he/she could withdraw the money.   ","19062018_TonalityChangesDone.xlsx"
"when can you withdraw money from your account","Yes. When the minor reaches 18 years of age, he/she could withdraw the money.   ","19062018_TonalityChangesDone.xlsx"
"account for my grandkids","Please visit the nearest Sampath Bank branch or \n click on the link\nhttps://www.sampath.lk/en/personal/savings/childrens-savings","Accounta_17102017.xlsx"
"children's accounts","Please visit the nearest Sampath Bank branch or \n click on the link\nhttps://www.sampath.lk/en/personal/savings/childrens-savings","Accounta_17102017.xlsx"
"how can i open an account for my children?","Please visit the nearest Sampath Bank branch or \n click on the link\nhttps://www.sampath.lk/en/personal/savings/childrens-savings","Accounta_17102017.xlsx"
"How can I open an account to my  son/daughter/niece/nephew,grandson/ grand daughter/child/kid/ teenager ?","Please visit the nearest Sampath Bank branch or \n click on the link\nhttps://www.sampath.lk/en/personal/savings/childrens-savings","Accounta_17102017.xlsx"
"How can I open an account to my grand  daughter?","Please visit the nearest Sampath Bank branch or \n click on the link\nhttps://www.sampath.lk/en/personal/savings/childrens-savings","Accounta_17102017.xlsx"
"How can I open an account to my grand daughter?","Please visit the nearest Sampath Bank branch or \n click on the link\nhttps://www.sampath.lk/en/personal/savings/childrens-savings","Accounta_17102017.xlsx"
"i want to open a new account for my children","Please visit the nearest Sampath Bank branch or \n click on the link\nhttps://www.sampath.lk/en/personal/savings/childrens-savings","Accounta_17102017.xlsx"
"i want to open an account for my granddaughter","Please visit the nearest Sampath Bank branch or \n click on the link\nhttps://www.sampath.lk/en/personal/savings/childrens-savings","Accounta_17102017.xlsx"
"new account for kids","Please visit the nearest Sampath Bank branch or \n click on the link\nhttps://www.sampath.lk/en/personal/savings/childrens-savings","Accounta_17102017.xlsx"
"new account for my children","Please visit the nearest Sampath Bank branch or \n click on the link\nhttps://www.sampath.lk/en/personal/savings/childrens-savings","Accounta_17102017.xlsx"
"new account for my daughter","Please visit the nearest Sampath Bank branch or \n click on the link\nhttps://www.sampath.lk/en/personal/savings/childrens-savings","Accounta_17102017.xlsx"
"opening an account for a teenager","Please visit the nearest Sampath Bank branch or \n click on the link\nhttps://www.sampath.lk/en/personal/savings/childrens-savings","Accounta_17102017.xlsx"
"opening an account for my son","Please visit the nearest Sampath Bank branch or \n click on the link\nhttps://www.sampath.lk/en/personal/savings/childrens-savings","Accounta_17102017.xlsx"
"accounts for senior citizens","Please visit this link:(https://www.sampath.lk/en/personal/savings?lvl3=senior-savings) for the details you require regarding Senior Citizens Account.","19062018_TonalityChangesDone.xlsx"
"How can I open an account for my parents?","Please visit this link:(https://www.sampath.lk/en/personal/savings?lvl3=senior-savings) for the details you require regarding Senior Citizens Account.","19062018_TonalityChangesDone.xlsx"
"How to open a Senior Citizen Account?","Please visit this link:(https://www.sampath.lk/en/personal/savings?lvl3=senior-savings) for the details you require regarding Senior Citizens Account.","19062018_TonalityChangesDone.xlsx"
"i want to open a senior citizen account","Please visit this link:(https://www.sampath.lk/en/personal/savings?lvl3=senior-savings) for the details you require regarding Senior Citizens Account.","19062018_TonalityChangesDone.xlsx"
"open senior ctzn accnt","Please visit this link:(https://www.sampath.lk/en/personal/savings?lvl3=senior-savings) for the details you require regarding Senior Citizens Account.","19062018_TonalityChangesDone.xlsx"
"opn senior ctzn accnt","Please visit this link:(https://www.sampath.lk/en/personal/savings?lvl3=senior-savings) for the details you require regarding Senior Citizens Account.","19062018_TonalityChangesDone.xlsx"
"senior citizen account","Please visit this link:(https://www.sampath.lk/en/personal/savings?lvl3=senior-savings) for the details you require regarding Senior Citizens Account.","19062018_TonalityChangesDone.xlsx"
"senior citizen account requirements","Please visit this link:(https://www.sampath.lk/en/personal/savings?lvl3=senior-savings) for the details you require regarding Senior Citizens Account.","19062018_TonalityChangesDone.xlsx"
"what are the requirements for a senior citizen account","Please visit this link:(https://www.sampath.lk/en/personal/savings?lvl3=senior-savings) for the details you require regarding Senior Citizens Account.","19062018_TonalityChangesDone.xlsx"
"age gap of special senior account?","Sri Lankan citizen of 55 years of age and above.","Accounta_17102017.xlsx"
"let me know how can we open special senior account?","Sri Lankan citizen of 55 years of age and above.","Accounta_17102017.xlsx"
"Age?","Age has no meaning because I'm Virtual.","Editorial"
"any details required to register in gift","You need to enter your mobile number, create your own password and account number.","igift_QnA_22062018.xlsx"
"Any details required to register in igift","You need to enter your mobile number, create your own password and account number.","igift_QnA_22062018.xlsx"
"how can i initialize gift","You need to enter your mobile number, create your own password and account number.","igift_QnA_22062018.xlsx"
"how to register for gift","You need to enter your mobile number, create your own password and account number.","igift_QnA_22062018.xlsx"
"How to register for igift","You need to enter your mobile number, create your own password and account number.","igift_QnA_22062018.xlsx"
"let us know what should i enter to register in igift","You need to enter your mobile number, create your own password and account number.","igift_QnA_22062018.xlsx"
"What are the details i should enter to register in gift","You need to enter your mobile number, create your own password and account number.","igift_QnA_22062018.xlsx"
"What are the details I should enter to register in igift","You need to enter your mobile number, create your own password and account number.","igift_QnA_22062018.xlsx"
"what should i enter to register in gift","You need to enter your mobile number, create your own password and account number.","igift_QnA_22062018.xlsx"
"What should I enter to register in igift","You need to enter your mobile number, create your own password and account number.","igift_QnA_22062018.xlsx"
"How can I initialize igift","You need to enter your mobile number, create your own password and account number.","igift_QnA_22062018.xlsx"
"Ho w can i get gift","You need to enter your mobile number, create your own password and account number.","igift_QnA_22062018.xlsx"
"any maximum daily limit for an igift","Maximum daily limit for sending igifts would be Rs.100,000/- .","igift_QnA_22062018.xlsx"
"any maximum daily limit for gift","Maximum daily limit for sending igifts would be Rs.100,000/- .","igift_QnA_22062018.xlsx"
"Is there a daily limit for an igift","Maximum daily limit for sending igifts would be Rs.100,000/- .","igift_QnA_22062018.xlsx"
"is there a daily limit for gift","Maximum daily limit for sending igifts would be Rs.100,000/- .","igift_QnA_22062018.xlsx"
"Is there a maximum daily limit for an igift","Maximum daily limit for sending igifts would be Rs.100,000/- .","igift_QnA_22062018.xlsx"
"is there a maximum daily limit for gift","Maximum daily limit for sending igifts would be Rs.100,000/- .","igift_QnA_22062018.xlsx"
"maximum daily limit for gift","Maximum daily limit for sending igifts would be Rs.100,000/- .","igift_QnA_22062018.xlsx"
"maximum daily limit value for igift","Maximum daily limit for sending igifts would be Rs.100,000/- .","igift_QnA_22062018.xlsx"
"sending daily limit for an igift","Maximum daily limit for sending igifts would be Rs.100,000/- .","igift_QnA_22062018.xlsx"
"sending daily limit for gift","Maximum daily limit for sending igifts would be Rs.100,000/- .","igift_QnA_22062018.xlsx"
"apply to sampath bank vacancies","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"I want to join sampath bank","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"Vacancies","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"Vacancies list","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"what are the opportunity's of the bank","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"sampath careers","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"can I join Sampath bank","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"i want a job","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"I wish to join with sampath bank as an intern. So what should I do ? ","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"I wish to join with sampath bank ","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"I want to submit my cv ","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"All i want to know is  their any vacancies  ","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"job opportunities ","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"i want to apply for internship in your bank","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"any vacancies for high rise apartment sales? please let me ","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"can i take an internship?","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"can I apply for your vacancies","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"I seek a job through your bank","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"how can i become a trainee","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"can I have a internship at sampath bank ","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"any vacancy for school leavers ","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"internships for undergraduates ","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"how to apply for the training post for school leavers ","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"want to job","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"job vacancies in sampat bank","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"how to apply to sampath bank for a job","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"how can I give my job application to your bank ","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"how to apply for internship training","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"can I apply for a trainee bank assistant post ","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"are there any job vacancies in sampath bank ","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"how to send a cv to apply for a business analyst ","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"I need a part time job","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"how to apply for training ","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"sampath job","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"I wish to be an employee at Sampath bank ","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"Is there any vacancies available now? ","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"vacancies for school leavers","Please follow the below link to get requested details :-https://www.sampath.lk/en/careers/vacancy-list","Editorial"
"Are Minor Accounts Taxable?","I suggest that you contact the Branch Manager for further instructions","19062018_TonalityChangesDone.xlsx"
"are there any charges for term deposit withdrawals","Yes. The bank's tariff will be applicable. Please note, charges will only apply for pre-mature withdrawals.  ","19062018_TonalityChangesDone.xlsx"
"Charges applicable for Term Deposit withdrawals?","Yes. The bank's tariff will be applicable. Please note, charges will only apply for pre-mature withdrawals.  ","19062018_TonalityChangesDone.xlsx"
"charges for fd withdrawal","Yes. The bank's tariff will be applicable. Please note, charges will only apply for pre-mature withdrawals.  ","19062018_TonalityChangesDone.xlsx"
"Charges for fixed deposit withdrawals","Yes. The bank's tariff will be applicable. Please note, charges will only apply for pre-mature withdrawals.  ","19062018_TonalityChangesDone.xlsx"
"are there any unique features in gift","i. Issued and paid through a mobile app   \n\nii. No paper involvement or requirement of you visiting a branch to get a gift voucher  \n\niii. Sender to be a Sampath Bank account holder while Recipient can be a customer of Sampath Bank or another bank involved in CEFT(Common Electronic Fund Transfer).  \n\niv. Immediate credit through Lanka Clear CEFT.   \n\nv. Possibility of Sender to customize the appearance of igift.","igift_QnA_22062018.xlsx"
"Are there any unique features in igift","i. Issued and paid through a mobile app   \n\nii. No paper involvement or requirement of you visiting a branch to get a gift voucher  \n\niii. Sender to be a Sampath Bank account holder while Recipient can be a customer of Sampath Bank or another bank involved in CEFT(Common Electronic Fund Transfer).  \n\niv. Immediate credit through Lanka Clear CEFT.   \n\nv. Possibility of Sender to customize the appearance of igift.","igift_QnA_22062018.xlsx"
"how does gift work","i. Issued and paid through a mobile app   \n\nii. No paper involvement or requirement of you visiting a branch to get a gift voucher  \n\niii. Sender to be a Sampath Bank account holder while Recipient can be a customer of Sampath Bank or another bank involved in CEFT(Common Electronic Fund Transfer).  \n\niv. Immediate credit through Lanka Clear CEFT.   \n\nv. Possibility of Sender to customize the appearance of igift.","igift_QnA_22062018.xlsx"
"how does igift work","i. Issued and paid through a mobile app   \n\nii. No paper involvement or requirement of you visiting a branch to get a gift voucher  \n\niii. Sender to be a Sampath Bank account holder while Recipient can be a customer of Sampath Bank or another bank involved in CEFT(Common Electronic Fund Transfer).  \n\niv. Immediate credit through Lanka Clear CEFT.   \n\nv. Possibility of Sender to customize the appearance of igift.","igift_QnA_22062018.xlsx"
"what are the unique features gift","i. Issued and paid through a mobile app   \n\nii. No paper involvement or requirement of you visiting a branch to get a gift voucher  \n\niii. Sender to be a Sampath Bank account holder while Recipient can be a customer of Sampath Bank or another bank involved in CEFT(Common Electronic Fund Transfer).  \n\niv. Immediate credit through Lanka Clear CEFT.   \n\nv. Possibility of Sender to customize the appearance of igift.","igift_QnA_22062018.xlsx"
"What are the unique features of igift","i. Issued and paid through a mobile app   \n\nii. No paper involvement or requirement of you visiting a branch to get a gift voucher  \n\niii. Sender to be a Sampath Bank account holder while Recipient can be a customer of Sampath Bank or another bank involved in CEFT(Common Electronic Fund Transfer).  \n\niv. Immediate credit through Lanka Clear CEFT.   \n\nv. Possibility of Sender to customize the appearance of igift.","igift_QnA_22062018.xlsx"
"features list of iGift","i. Issued and paid through a mobile app   \n\nii. No paper involvement or requirement of you visiting a branch to get a gift voucher  \n\niii. Sender to be a Sampath Bank account holder while Recipient can be a customer of Sampath Bank or another bank involved in CEFT(Common Electronic Fund Transfer).  \n\niv. Immediate credit through Lanka Clear CEFT.   \n\nv. Possibility of Sender to customize the appearance of igift.","igift_QnA_22062018.xlsx"
"unique features of iGift","i. Issued and paid through a mobile app   \n\nii. No paper involvement or requirement of you visiting a branch to get a gift voucher  \n\niii. Sender to be a Sampath Bank account holder while Recipient can be a customer of Sampath Bank or another bank involved in CEFT(Common Electronic Fund Transfer).  \n\niv. Immediate credit through Lanka Clear CEFT.   \n\nv. Possibility of Sender to customize the appearance of igift.","igift_QnA_22062018.xlsx"
"Are you charging for new passbook","New pass books will be issued free of charge. However, account holder should be present along with the old pass book at the time of visiting the branch.","19062018_TonalityChangesDone.xlsx"
"Are you charging for the new passbook at the exhaustion of the pages of latest passbook","New pass books will be issued free of charge. However, account holder should be present along with the old pass book at the time of visiting the branch.","19062018_TonalityChangesDone.xlsx"
"are you open on holidays","Please visit this link (https://www.sampath.lk/en/branches/opening-hours) to learn detailed opening and business hours of a Sampath Bank nearest to you.","19062018_TonalityChangesDone.xlsx"
"are you open on mondays","Please visit this link (https://www.sampath.lk/en/branches/opening-hours) to learn detailed opening and business hours of a Sampath Bank nearest to you.","19062018_TonalityChangesDone.xlsx"
"are you open on sundays","Please visit this link (https://www.sampath.lk/en/branches/opening-hours) to learn detailed opening and business hours of a Sampath Bank nearest to you.","19062018_TonalityChangesDone.xlsx"
"Bank Open hours?","Please visit this link (https://www.sampath.lk/en/branches/opening-hours) to learn detailed opening and business hours of a Sampath Bank nearest to you.","19062018_TonalityChangesDone.xlsx"
"bank opening hours","Please visit this link (https://www.sampath.lk/en/branches/opening-hours) to learn detailed opening and business hours of a Sampath Bank nearest to you.","19062018_TonalityChangesDone.xlsx"
"bank opening time","Please visit this link (https://www.sampath.lk/en/branches/opening-hours) to learn detailed opening and business hours of a Sampath Bank nearest to you.","19062018_TonalityChangesDone.xlsx"
"branch opening time","Please visit this link (https://www.sampath.lk/en/branches/opening-hours) to learn detailed opening and business hours of a Sampath Bank nearest to you.","19062018_TonalityChangesDone.xlsx"
"opening  hours","Please visit this link (https://www.sampath.lk/en/branches/opening-hours) to learn detailed opening and business hours of a Sampath Bank nearest to you.","19062018_TonalityChangesDone.xlsx"
"opening hours","Please visit this link (https://www.sampath.lk/en/branches/opening-hours) to learn detailed opening and business hours of a Sampath Bank nearest to you.","19062018_TonalityChangesDone.xlsx"
"opening time","Please visit this link (https://www.sampath.lk/en/branches/opening-hours) to learn detailed opening and business hours of a Sampath Bank nearest to you.","19062018_TonalityChangesDone.xlsx"
"super branch opening time","Please visit this link (https://www.sampath.lk/en/branches/opening-hours) to learn detailed opening and business hours of a Sampath Bank nearest to you.","19062018_TonalityChangesDone.xlsx"
"What is bank Open Time?","Please visit this link (https://www.sampath.lk/en/branches/opening-hours) to learn detailed opening and business hours of a Sampath Bank nearest to you.","19062018_TonalityChangesDone.xlsx"
"what is the bank timing","Please visit this link (https://www.sampath.lk/en/branches/opening-hours) to learn detailed opening and business hours of a Sampath Bank nearest to you.","19062018_TonalityChangesDone.xlsx"
"what time does bank open","Please visit this link (https://www.sampath.lk/en/branches/opening-hours) to learn detailed opening and business hours of a Sampath Bank nearest to you.","19062018_TonalityChangesDone.xlsx"
"what's the bank opening time","Please visit this link (https://www.sampath.lk/en/branches/opening-hours) to learn detailed opening and business hours of a Sampath Bank nearest to you.","19062018_TonalityChangesDone.xlsx"
"location of branch open 24x7 ","Please visit this link (https://www.sampath.lk/en/branches/opening-hours) to learn detailed opening and business hours of a Sampath Bank nearest to you.","19062018_TonalityChangesDone.xlsx"
"bank contact number","The relevant numbers are Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","19062018_TonalityChangesDone.xlsx"
"contact number","The relevant numbers are Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","19062018_TonalityChangesDone.xlsx"
"contact number of sampath bank","The relevant numbers are Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","19062018_TonalityChangesDone.xlsx"
"hotline number","The relevant numbers are Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","19062018_TonalityChangesDone.xlsx"
"Card center contact number","The relevant numbers are Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","19062018_TonalityChangesDone.xlsx"
"please send me a contact number ","The relevant numbers are Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","19062018_TonalityChangesDone.xlsx"
"pls give me your hotline number ","The relevant numbers are Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","19062018_TonalityChangesDone.xlsx"
"Can I have card center fax number? ","The relevant numbers are Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","19062018_TonalityChangesDone.xlsx"
"send me your card center no","The relevant numbers are Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","19062018_TonalityChangesDone.xlsx"
"contact number sampath bank colombo 2","The relevant numbers are Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","19062018_TonalityChangesDone.xlsx"
"please give the sampath bank nugegoda branch no","The relevant numbers are Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","19062018_TonalityChangesDone.xlsx"
"can i have sampath card center telephone number ","The relevant numbers are Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","19062018_TonalityChangesDone.xlsx"
"I need a telephone number who can connect for some clarification for corporate credit cards","The relevant numbers are Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","19062018_TonalityChangesDone.xlsx"
"what is the contact number to get details about my letter of credit ","The relevant numbers are Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","19062018_TonalityChangesDone.xlsx"
"what is the contact number of homagama branch? ","The relevant numbers are Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","19062018_TonalityChangesDone.xlsx"
"24 hours contact number please ","The relevant numbers are Tel - +94 11 2 30 30 50 \n\nFax - +94 11 4712 013","19062018_TonalityChangesDone.xlsx"
"details of bank holidays","https://www.sampath.lk/en/branches/holidays","CreditCard&GeneralQnA.xlsx"
"bank holidays","https://www.sampath.lk/en/branches/holidays","CreditCard&GeneralQnA.xlsx"
"bank open","Please visit this link (https://www.sampath.lk/en/branches/opening-hours)","19062018_TonalityChangesDone.xlsx"
"what is the opening time of your bank","Please visit this link (https://www.sampath.lk/en/branches/opening-hours)","19062018_TonalityChangesDone.xlsx"
"benefits of Sampath Credit Cards?","Please visit ""Special offers"" (http://www.sampath.lk/en/sampath-credit-card-offers) & ""Sampath Advantage""\n(http://www.sampath.lk/en/sampath-advantage) pages for features and benefits on all Cards","Editorial"
"may i know what are the special offers of sampath credit cards?","Please visit ""Special offers"" (http://www.sampath.lk/en/sampath-credit-card-offers) & ""Sampath Advantage""\n(http://www.sampath.lk/en/sampath-advantage) pages for features and benefits on all Cards","Editorial"
"special offers of sampath credit cards?","Please visit ""Special offers"" (http://www.sampath.lk/en/sampath-credit-card-offers) & ""Sampath Advantage""\n(http://www.sampath.lk/en/sampath-advantage) pages for features and benefits on all Cards","Editorial"
"tell me the benefits of Sampath Credit Cards?","Please visit ""Special offers"" (http://www.sampath.lk/en/sampath-credit-card-offers) & ""Sampath Advantage""\n(http://www.sampath.lk/en/sampath-advantage) pages for features and benefits on all Cards","Editorial"
"what are the special offers of sampath Credit cards?","Please visit ""Special offers"" (http://www.sampath.lk/en/sampath-credit-card-offers) & ""Sampath Advantage""\n(http://www.sampath.lk/en/sampath-advantage) pages for features and benefits on all Cards","Editorial"
"let us know buddhist monk can nomination account","As per present regulations Buddhist monks cannot give nomination to accounts.","CreditCard&GeneralQnA.xlsx"
"nomination process of buddhist monk","As per present regulations Buddhist monks cannot give nomination to accounts.","CreditCard&GeneralQnA.xlsx"
"Buddhist monk can nomination to an account?","As per present regulations Buddhist monks cannot give nomination to accounts.","CreditCard&GeneralQnA.xlsx"
"Can a Buddhist monk give a nomination to an account?","As per current regulations, Buddhist monks cannot give nomination to accounts.  ","19062018_TonalityChangesDone.xlsx"
"Can a customer practice trading before registration to USTOCKTRADE","Yes, Please Visit : https://www.ustocktrain.com/","Editorial"
"Can I practice of USTOCKTRADE","Yes, Please Visit : https://www.ustocktrain.com/","Editorial"
"download link Practice of USTOCKTRADE","Yes, Please Visit : https://www.ustocktrain.com/","Editorial"
"How to practice of USTOCKTRADE","Yes, Please Visit : https://www.ustocktrain.com/","Editorial"
"registration link Practice of USTOCKTRADE","Yes, Please Visit : https://www.ustocktrain.com/","Editorial"
